Name,Config,FLOPs,Parameters,Top 1 Accuracy,Top 5 Accuracy,Epochs,Batch Size,Training Techniques
deit3-base-p16_3rdparty_in1k-384px,configs/deit3/deit3-base-p16_64xb32_in1k-384px.py,55538974464,86877160,85.08,97.25,,,
efficientnetv2-m_3rdparty_in1k,configs/efficientnet_v2/efficientnetv2-m_8xb32_in1k-480px.py,26880363584,54139356,85.01,97.26,,,
beit-base-p16_beitv2-pre_8xb128-coslr-100e_in1k,configs/beitv2/benchmarks/beit-base-p16_8xb128-coslr-100e_in1k.py,17581219584,86530984,85.0,,100.0,1024.0,
xcit-medium-24-p8_3rdparty-dist_in1k,configs/xcit/xcit-medium-24-p8_8xb128_in1k.py,63524706816,84323624,85.0,97.16,,,
deit3-large-p16_3rdparty_in1k,configs/deit3/deit3-large-p16_64xb64_in1k.py,61603111936,304374760,84.87,97.01,,,
convnext-v2-base_fcmae-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-base_32xb32_in1k.py,15382561792,88717800,84.87,97.08,,,
tinyvit-21m_in21k-distill-pre_3rdparty_in1k,configs/tinyvit/tinyvit-21m-distill_8xb256_in1k.py,4301124096,21198568,84.85,97.27,,,
replknet-31B_3rdparty_in1k-384px,configs/replknet/replknet-31B_32xb64_in1k-384px.py,45952303104,79864168,84.84,97.34,,,
deit3-small-p16_in21k-pre_3rdparty_in1k-384px,configs/deit3/deit3-small-p16_64xb64_in1k-384px.py,15517663104,22205416,84.84,97.48,,,
swin-large-w14_simmim-800e-pre_8xb256-coslr-100e_in1k,configs/simmim/benchmarks/swin-large-w14_8xb256-coslr-100e_in1k.py,38853083136,196848316,84.8,,100.0,2048.0,
xcit-small-12-p16_3rdparty-dist_in1k-384px,configs/xcit/xcit-small-12-p16_8xb128_in1k-384px.py,14143179648,26253304,84.74,97.19,,,
